sep=,
"Vergunningnr","Inrichting","KvK-nummer","Allocatie 2008","Emissie 2008","Naleving 2008","Allocatie 2009","Emissie 2009","Naleving 2009","Allocatie 2010","Emissie 2010","Naleving 2010","Allocatie 2011","Emissie 2011","Naleving 2011","Allocatie 2012","Emissie 2012","Naleving 2012","Allocatie 2013","Emissie 2013","Naleving 2013"
"NL-200400076","DuPont de Nemours (Nederland) B.V.","23026458","211037","153716","Ja","211037","124844","Ja","211037","145783","Ja","211036","146952","Ja","211036","134241","Ja","92908","184390","Ja"
"NL-200400156","E.ON Centrale De Constant Rebecqueplein","27028140","137765","164488","Ja","137764","164803","Ja","137764","184514","Ja","137764","186256","Ja","137764","192119","Ja","53836","157991","Ja"
"NL-200400157","E.ON Centrale Galileïstraat","27028140","449753","478838","Ja","449753","479826","Ja","449753","482200","Ja","449752","427452","Ja","449752","420213","Ja","154889","406988","Ja"
"NL-200400154","E.ON Centrale Leiden","27028140","115838","169023","Ja","115838","150913","Ja","115838","177944","Ja","115838","167965","Ja","115838","147278","Ja","46892","147029","Ja"
"NL-200400153","E.ON Centrale Maasvlakte","27028140","4868248","6694824","Ja","4868248","5907182","Ja","4868248","6680535","Ja","4868248","6486461","Ja","4868248","6651138","Ja","21068","6677210","Ja"
"NL-200400158","E.ON Delft Gas Turbine Centrale","27195689","11598","8735","Ja","11598","7426","Ja","11598","1700","Ja","11598","959","Ja","-","-","-","-","-","-"
"NL-200400150","E.ON HWC Bezuidenhout West","27195689","18968","21031","Ja","18968","25644","Ja","18968","21260","Ja","18968","12610","Ja","18967","11827","Ja","19458","19673","Ja"
"NL-200400160","E.ON HWC Blekerstraat","27195689","37","187","Ja","37","349","Ja","37","124","Ja","37","42","Ja","36","42","Ja","42","151","Ja"
"NL-200400149","E.ON HWC Delftse Vaart","27195689","3859","5630","Ja","3859","9023","Ja","3858","4794","Ja","3858","5156","Ja","3858","13910","Ja","5352","4922","Ja"
"NL-200400159","E.ON HWC Kop van Zuid","27195689","4291","3711","Ja","4291","5079","Ja","4291","7108","Ja","4291","5312","Ja","4290","4807","Ja","4663","5971","Ja"
"NL-200400148","E.ON HWC Stevenshof","27195689","4144","2075","Ja","4143","3162","Ja","4143","528","Ja","4143","2455","Ja","4143","1032","Ja","2101","3780","Ja"
"NL-201100057","E.ON Maasvlakte Powerplant 3","27028140","-","-","-","-","-","-","-","-","-","-","-","-","0","93","Ja","0","255714","Ja"
"NL-200400155","E.ON Centrale RoCa","27028140","681053","680570","Ja","681053","715212","Ja","681053","671331","Ja","681053","607456","Ja","681052","443383","Ja","215357","469077","Ja"
"NL-200400167","Eastman Chemical Middelburg BV","22047104","22463","25141","Ja","22463","21021","Ja","22463","27050","Ja","22462","28181","Ja","22462","24040","Ja","45993","60793","Ja"
"NL-201100049","Echter Asfaltcentrale B.V.","13020600","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1590","1440","Ja"
"NL-200400065","GDF Suez Centrale Bergum","05043978","601303","867573","Ja","601303","970729","Ja","601303","585221","Ja","601303","76281","Ja","601302","8354","Ja","0","2062","Ja"
"NL-200400066","GDF SUEZ Energie Nederland N.V. Centrale Gelderland","05043978","2022227","3258714","Ja","2022226","2381845","Ja","2022226","2223750","Ja","2022226","2076834","Ja","2022226","2318936","Ja","0","2722750","Ja"
"NL-200400031","GDF Suez Centrale Harculo","05043978","192696","444431","Ja","192695","393320","Ja","192695","302214","Ja","192695","60847","Ja","192695","1658","Ja","0","2047","Ja"
